Model,MAE_kWh,RMSE_kWh,MAPE_Percent
Same Hour Yesterday,18.1670203786692,25.5291131182906,9.93103725164306
Same Hour Last Week,15.9195069892277,22.234364666599,8.43265259582251
Linear Regression,12.3465782197995,17.0401891864231,6.64089702194859
Artificial Neural Network,11.1209069912287,15.6344572163042,5.97860202446117
