Model,MAE_kWh,RMSE_kWh,MAPE_Percent
Same Hour Yesterday,18.1670203786692,25.5291131182906,9.93103725164306
Same Hour Last Week,15.9195069892277,22.234364666599,8.43265259582251
Day-Ahead Regression,13.6874028319497,19.0208814070875,7.43581201939652
Day-Ahead ANN,16.6590999856651,23.4086834525092,9.37314936260084
